County,County Code,Year,Year Code,Births,Total Population,Birth Rate
"Winnebago County, IL",17201,2020,2020,3373,281295,11.99
"Unidentified Counties, IL",17999,2010,2010,25960,2303685,11.27
"Unidentified Counties, IL",17999,2020,2020,19950,1962597,10.17
"Allen County, IN",18003,2010,2010,5309,355329,14.94
"Allen County, IN",18003,2020,2020,5198,382187,13.6
"Clark County, IN",18019,2020,2020,1356,119266,11.37
"Delaware County, IN",18035,2010,2010,1245,117671,10.58
"Delaware County, IN",18035,2020,2020,1067,113454,9.4
"Elkhart County, IN",18039,2010,2010,3013,197559,15.25
"Elkhart County, IN",18039,2020,2020,2898,206161,14.06
"Hamilton County, IN",18057,2010,2010,3786,274569,13.79
"Hamilton County, IN",18057,2020,2020,3595,344238,10.44
"Hendricks County, IN",18063,2010,2010,1726,145448,11.87
"Hendricks County, IN",18063,2020,2020,1709,173251,9.86
"Johnson County, IN",18081,2010,2010,1772,139654,12.69
"Johnson County, IN",18081,2020,2020,1817,160607,11.31
"Lake County, IN",18089,2010,2010,6492,496005,13.09
"Lake County, IN",18089,2020,2020,5442,487536,11.16
"La Porte County, IN",18091,2010,2010,1304,111467,11.7
"La Porte County, IN",18091,2020,2020,1144,109663,10.43
"Madison County, IN",18095,2010,2010,1612,131636,12.25
"Madison County, IN",18095,2020,2020,1418,129681,10.93
"Marion County, IN",18097,2010,2010,14598,903393,16.16
"Marion County, IN",18097,2020,2020,13702,966183,14.18
"Monroe County, IN",18105,2010,2010,1316,137974,9.54
"Monroe County, IN",18105,2020,2020,1118,148219,7.54
"Porter County, IN",18127,2010,2010,1727,164343,10.51
"Porter County, IN",18127,2020,2020,1594,170980,9.32
"St. Joseph County, IN",18141,2010,2010,3505,266931,13.13
"St. Joseph County, IN",18141,2020,2020,3251,271484,11.97
"Tippecanoe County, IN",18157,2010,2010,2148,172780,12.43
"Tippecanoe County, IN",18157,2020,2020,2094,196115,10.68
"Vanderburgh County, IN",18163,2010,2010,2347,179703,13.06
"Vanderburgh County, IN",18163,2020,2020,2133,182447,11.69
"Vigo County, IN",18167,2010,2010,1309,107848,12.14
"Vigo County, IN",18167,2020,2020,1127,106608,10.57
"Unidentified Counties, IN",18999,2010,2010,30731,2581492,11.9
"Unidentified Counties, IN",18999,2020,2020,27953,2486873,11.24
"Black Hawk County, IA",19013,2010,2010,1689,131090,12.88
"Black Hawk County, IA",19013,2020,2020,1642,130786,12.55
"Johnson County, IA",19103,2010,2010,1797,130882,13.73
"Johnson County, IA",19103,2020,2020,1625,153740,10.57
"Linn County, IA",19113,2010,2010,2768,211226,13.1
"Linn County, IA",19113,2020,2020,2609,227854,11.45
"Polk County, IA",19153,2010,2010,6528,430640,15.16
"Polk County, IA",19153,2020,2020,6283,494281,12.71
"Scott County, IA",19163,2010,2010,2224,165224,13.46
"Scott County, IA",19163,2020,2020,1999,173216,11.54
"Woodbury County, IA",19193,2010,2010,1553,102172,15.2
"Woodbury County, IA",19193,2020,2020,1435,103138,13.91
"Unidentified Counties, IA",19999,2010,2010,22160,1875121,11.82
"Unidentified Counties, IA",19999,2020,2020,20521,1880546,10.91
"Douglas County, KS",20045,2020,2020,1020,122530,8.32
"Johnson County, KS",20091,2010,2010,7399,544179,13.6
"Johnson County, KS",20091,2020,2020,6830,607220,11.25
"Sedgwick County, KS",20173,2010,2010,8083,498365,16.22
"Sedgwick County, KS",20173,2020,2020,6520,519907,12.54
"Shawnee County, KS",20177,2010,2010,2501,177934,14.06
"Shawnee County, KS",20177,2020,2020,1994,175999,11.33
"Wyandotte County, KS",20209,2010,2010,2760,157505,17.52
"Wyandotte County, KS",20209,2020,2020,2478,165265,14.99
"Unidentified Counties, KS",20999,2010,2010,19906,1475135,13.49
"Unidentified Counties, KS",20999,2020,2020,15534,1322884,11.74
"Boone County, KY",21015,2020,2020,1666,135396,12.3
"Fayette County, KY",21067,2010,2010,3924,295803,13.27
"Fayette County, KY",21067,2020,2020,3676,324735,11.32
"Hardin County, KY",21093,2020,2020,1397,111309,12.55
"Jefferson County, KY",21111,2010,2010,10204,741096,13.77
"Jefferson County, KY",21111,2020,2020,9480,767452,12.35
"Kenton County, KY",21117,2010,2010,2394,159720,14.99
"Kenton County, KY",21117,2020,2020,2180,167949,12.98
"Warren County, KY",21227,2020,2020,1704,134510,12.67
"Unidentified Counties, KY",21999,2010,2010,39262,3142748,12.49
"Unidentified Counties, KY",21999,2020,2020,31565,2835900,11.13
"Ascension Parish, LA",22005,2020,2020,1655,128665,12.86
"Bossier Parish, LA",22015,2020,2020,1618,127275,12.71
"Caddo Parish, LA",22017,2010,2010,3892,254969,15.26
"Caddo Parish, LA",22017,2020,2020,2923,237479,12.31
"Calcasieu Parish, LA",22019,2010,2010,2600,192768,13.49
"Calcasieu Parish, LA",22019,2020,2020,2666,203310,13.11
"East Baton Rouge Parish, LA",22033,2010,2010,6084,440171,13.82
"East Baton Rouge Parish, LA",22033,2020,2020,5583,439729,12.7
"Jefferson Parish, LA",22051,2010,2010,5858,432552,13.54
"Jefferson Parish, LA",22051,2020,2020,5300,432346,12.26
"Lafayette Parish, LA",22055,2010,2010,3089,221578,13.94
"Lafayette Parish, LA",22055,2020,2020,3296,246518,13.37
"Livingston Parish, LA",22063,2020,2020,1847,143737,12.85
"Orleans Parish, LA",22071,2010,2010,4598,343829,13.37
"Orleans Parish, LA",22071,2020,2020,4375,389476,11.23
"Ouachita Parish, LA",22073,2010,2010,2203,153720,14.33
"Ouachita Parish, LA",22073,2020,2020,1954,152439,12.82
"Rapides Parish, LA",22079,2010,2010,1743,131613,13.24
"Rapides Parish, LA",22079,2020,2020,1638,128567,12.74
"St. Tammany Parish, LA",22103,2010,2010,2741,233740,11.73
"St. Tammany Parish, LA",22103,2020,2020,2938,263446,11.15
"Tangipahoa Parish, LA",22105,2010,2010,1834,121097,15.14
"Tangipahoa Parish, LA",22105,2020,2020,1937,136765,14.16
"Terrebonne Parish, LA",22109,2010,2010,1675,111860,14.97
"Terrebonne Parish, LA",22109,2020,2020,1424,109859,12.96
"Unidentified Counties, LA",22999,2010,2010,26062,1895475,13.75
"Unidentified Counties, LA",22999,2020,2020,18174,1505707,12.07
"Androscoggin County, ME",23001,2010,2010,1342,107702,12.46
"Androscoggin County, ME",23001,2020,2020,1096,108547,10.1
"Cumberland County, ME",23005,2010,2010,2777,281674,9.86
"Cumberland County, ME",23005,2020,2020,2753,298111,9.23
"Kennebec County, ME",23011,2010,2010,1201,122151,9.83
"Kennebec County, ME",23011,2020,2020,1060,122955,8.62
"Penobscot County, ME",23019,2010,2010,1515,153923,9.84
"Penobscot County, ME",23019,2020,2020,1204,151655,7.94
"York County, ME",23031,2010,2010,1893,197131,9.6
"York County, ME",23031,2020,2020,1725,209066,8.25
"Unidentified Counties, ME",23999,2010,2010,4242,465780,9.11
"Unidentified Counties, ME",23999,2020,2020,3701,459807,8.05
"Anne Arundel County, MD",24003,2010,2010,7063,537656,13.14
"Anne Arundel County, MD",24003,2020,2020,6816,582777,11.7
"Baltimore County, MD",24005,2010,2010,9889,805029,12.28
"Baltimore County, MD",24005,2020,2020,9352,826017,11.32
"Carroll County, MD",24013,2010,2010,1605,167134,9.6
"Carroll County, MD",24013,2020,2020,1663,169092,9.83
"Cecil County, MD",24015,2020,2020,1097,103419,10.61
"Charles County, MD",24017,2010,2010,1797,146551,12.26
"Charles County, MD",24017,2020,2020,1790,164436,10.89
"Frederick County, MD",24021,2010,2010,2852,233385,12.22
"Frederick County, MD",24021,2020,2020,2965,265161,11.18
"Harford County, MD",24025,2010,2010,2709,244826,11.07
"Harford County, MD",24025,2020,2020,2574,256805,10.02
"Howard County, MD",24027,2010,2010,3372,287085,11.75
"Howard County, MD",24027,2020,2020,3350,328200,10.21
"Montgomery County, MD",24031,2010,2010,13304,971777,13.69
"Montgomery County, MD",24031,2020,2020,11696,1051816,11.12
"Prince George's County, MD",24033,2010,2010,12185,863420,14.11
"Prince George's County, MD",24033,2020,2020,11302,909612,12.43
"St. Mary's County, MD",24037,2020,2020,1381,114687,12.04
"Washington County, MD",24043,2010,2010,1768,147430,11.99
"Washington County, MD",24043,2020,2020,1683,151146,11.13
"Baltimore city, MD",24510,2010,2010,8956,620961,14.42
"Baltimore city, MD",24510,2020,2020,7403,586131,12.63
"Unidentified Counties, MD",24999,2010,2010,8301,748298,11.09
"Unidentified Counties, MD",24999,2020,2020,5482,546503,10.03
"Barnstable County, MA",25001,2010,2010,1714,215888,7.94
"Barnstable County, MA",25001,2020,2020,1414,213164,6.63
"Berkshire County, MA",25003,2010,2010,1174,131219,8.95
"Berkshire County, MA",25003,2020,2020,924,124571,7.42
"Bristol County, MA",25005,2010,2010,5872,548285,10.71
"Bristol County, MA",25005,2020,2020,5541,566765,9.78
"Essex County, MA",25009,2010,2010,8317,743159,11.19
"Essex County, MA",25009,2020,2020,8147,791263,10.3
"Hampden County, MA",25013,2010,2010,5416,463490,11.69
"Hampden County, MA",25013,2020,2020,4758,463986,10.25
"Hampshire County, MA",25015,2010,2010,1171,158080,7.41
"Hampshire County, MA",25015,2020,2020,903,161401,5.59
"Middlesex County, MA",25017,2010,2010,17749,1503085,11.81
"Middlesex County, MA",25017,2020,2020,15762,1609379,9.79
"Norfolk County, MA",25021,2010,2010,7122,670850,10.62
"Norfolk County, MA",25021,2020,2020,6773,709409,9.55
"Plymouth County, MA",25023,2010,2010,5166,494919,10.44
"Plymouth County, MA",25023,2020,2020,4942,523738,9.44
"Suffolk County, MA",25025,2010,2010,9428,722023,13.06
